dataset,label,curve,x,y,threshold
NIH internal test,Atelectasis,roc,0.07538461538461538,0.14606741573033707,0.7004655003547668
NIH internal test,Atelectasis,roc,0.07538461538461538,0.15730337078651685,0.6989670991897583
NIH internal test,Atelectasis,roc,0.07692307692307693,0.15730337078651685,0.6956925392150879
NIH internal test,Atelectasis,roc,0.07692307692307693,0.16853932584269662,0.6943532228469849
NIH internal test,Atelectasis,roc,0.08,0.16853932584269662,0.6933942437171936
NIH internal test,Atelectasis,roc,0.08,0.19101123595505617,0.6923296451568604
NIH internal test,Atelectasis,roc,0.09384615384615384,0.19101123595505617,0.6838018894195557
NIH internal test,Atelectasis,roc,0.09384615384615384,0.21348314606741572,0.6829429864883423
NIH internal test,Atelectasis,roc,0.09692307692307692,0.21348314606741572,0.6824436187744141
NIH internal test,Atelectasis,roc,0.09692307692307692,0.2247191011235955,0.682064950466156
NIH internal test,Atelectasis,roc,0.10923076923076923,0.2247191011235955,0.6710513830184937
NIH internal test,Atelectasis,roc,0.10923076923076923,0.23595505617977527,0.6704394817352295
NIH internal test,Atelectasis,roc,0.11384615384615385,0.23595505617977527,0.6637298464775085
NIH internal test,Atelectasis,roc,0.11384615384615385,0.24719101123595505,0.6635410189628601
NIH internal test,Atelectasis,roc,0.11538461538461539,0.24719101123595505,0.6633944511413574
NIH internal test,Atelectasis,roc,0.11538461538461539,0.25842696629213485,0.6605224013328552
NIH internal test,Atelectasis,roc,0.12307692307692308,0.25842696629213485,0.6577227711677551
NIH internal test,Atelectasis,roc,0.12307692307692308,0.2696629213483146,0.6575253009796143
NIH internal test,Atelectasis,roc,0.13230769230769232,0.2696629213483146,0.6480249762535095
NIH internal test,Atelectasis,roc,0.13230769230769232,0.29213483146067415,0.6465761661529541
NIH internal test,Atelectasis,roc,0.14153846153846153,0.29213483146067415,0.6384692788124084
NIH internal test,Atelectasis,roc,0.14153846153846153,0.30337078651685395,0.6380892992019653
NIH internal test,Atelectasis,roc,0.14615384615384616,0.30337078651685395,0.6359667181968689
NIH internal test,Atelectasis,roc,0.14615384615384616,0.3146067415730337,0.6320375204086304
NIH internal test,Atelectasis,roc,0.1523076923076923,0.3146067415730337,0.6282427906990051
NIH internal test,Atelectasis,roc,0.1523076923076923,0.33707865168539325,0.6276708841323853
NIH internal test,Atelectasis,roc,0.15538461538461537,0.33707865168539325,0.6254989504814148
NIH internal test,Atelectasis,roc,0.15538461538461537,0.34831460674157305,0.6242193579673767
NIH internal test,Atelectasis,roc,0.15692307692307692,0.34831460674157305,0.623521625995636
NIH internal test,Atelectasis,roc,0.15692307692307692,0.38202247191011235,0.6225784420967102
NIH internal test,Atelectasis,roc,0.16,0.38202247191011235,0.6199172735214233
NIH internal test,Atelectasis,roc,0.16,0.4044943820224719,0.6193270683288574
NIH internal test,Atelectasis,roc,0.16923076923076924,0.4044943820224719,0.6149084568023682
NIH internal test,Atelectasis,roc,0.16923076923076924,0.4157303370786517,0.6148742437362671
NIH internal test,Atelectasis,roc,0.1723076923076923,0.4157303370786517,0.6132027506828308
NIH internal test,Atelectasis,roc,0.1723076923076923,0.42696629213483145,0.6125900745391846
NIH internal test,Atelectasis,roc,0.17692307692307693,0.42696629213483145,0.6073055267333984
NIH internal test,Atelectasis,roc,0.17692307692307693,0.43820224719101125,0.6051583290100098
NIH internal test,Atelectasis,roc,0.18769230769230769,0.43820224719101125,0.5990235805511475
NIH internal test,Atelectasis,roc,0.18769230769230769,0.449438202247191,0.5988919734954834
NIH internal test,Atelectasis,roc,0.19076923076923077,0.449438202247191,0.5985662341117859
NIH internal test,Atelectasis,roc,0.19076923076923077,0.4606741573033708,0.5981966853141785
NIH internal test,Atelectasis,roc,0.19230769230769232,0.4606741573033708,0.5979201197624207
NIH internal test,Atelectasis,roc,0.19230769230769232,0.47191011235955055,0.5953645706176758
NIH internal test,Atelectasis,roc,0.20615384615384616,0.47191011235955055,0.5923888683319092
NIH internal test,Atelectasis,roc,0.20615384615384616,0.48314606741573035,0.5912837982177734
NIH internal test,Atelectasis,roc,0.22153846153846155,0.48314606741573035,0.5862002968788147
NIH internal test,Atelectasis,roc,0.22153846153846155,0.4943820224719101,0.5848535299301147
NIH internal test,Atelectasis,roc,0.2353846153846154,0.4943820224719101,0.5787021517753601
NIH internal test,Atelectasis,roc,0.2353846153846154,0.5056179775280899,0.5786107182502747
NIH internal test,Atelectasis,roc,0.24,0.5056179775280899,0.5739820599555969
NIH internal test,Atelectasis,roc,0.24,0.5168539325842697,0.5737391710281372
NIH internal test,Atelectasis,roc,0.25076923076923074,0.5168539325842697,0.5673102736473083
NIH internal test,Atelectasis,roc,0.25076923076923074,0.5280898876404494,0.5666618347167969
NIH internal test,Atelectasis,roc,0.26153846153846155,0.5280898876404494,0.5622617602348328
NIH internal test,Atelectasis,roc,0.26153846153846155,0.5393258426966292,0.5618501305580139
NIH internal test,Atelectasis,roc,0.2953846153846154,0.5393258426966292,0.5506810545921326
NIH internal test,Atelectasis,roc,0.2953846153846154,0.550561797752809,0.54909747838974
NIH internal test,Atelectasis,roc,0.31384615384615383,0.550561797752809,0.5397953987121582
NIH internal test,Atelectasis,roc,0.31384615384615383,0.5617977528089888,0.5394204258918762
NIH internal test,Atelectasis,roc,0.3169230769230769,0.5617977528089888,0.5377634763717651
NIH internal test,Atelectasis,roc,0.3169230769230769,0.5730337078651685,0.5361843705177307
NIH internal test,Atelectasis,roc,0.3553846153846154,0.5730337078651685,0.5216623544692993
NIH internal test,Atelectasis,roc,0.3553846153846154,0.5842696629213483,0.5210636854171753
NIH internal test,Atelectasis,roc,0.3630769230769231,0.5842696629213483,0.5189173817634583
