dataset,average,label,n,positives,auroc,auprc,sensitivity,specificity,f1,accuracy,ppv,npv,tp,fp,tn,fn,auroc_ci_lower,auroc_ci_upper,auprc_ci_lower,auprc_ci_upper,sensitivity_ci_lower,sensitivity_ci_upper,specificity_ci_lower,specificity_ci_upper,f1_ci_lower,f1_ci_upper,accuracy_ci_lower,accuracy_ci_upper,ppv_ci_lower,ppv_ci_upper,npv_ci_lower,npv_ci_upper
NIH_internal_test,label,Atelectasis,739,89,0.6602420051858254,0.22453296882219448,0.34831460674156917,0.809230769230768,0.25409836065573665,0.753721244925574,0.1999999999999987,0.9006849315068477,31,124,526,58,0.5996792461911368,0.72243558697927,0.16543021136227792,0.31400531931348535,0.251199494949492,0.46016712038716917,0.7747119997363614,0.8443171936493125,0.18253787878787803,0.3314167160640176,0.7160150428289691,0.7892507665322347,0.14053256445047396,0.2716448070764052,0.8727856898765143,0.9244703670942045
NIH_internal_test,label,Cardiomegaly,739,26,0.6549250188801381,0.08740806835726568,0.07692307692307397,0.9873772791023828,0.10810810810810519,0.9553450608930975,0.18181818181816528,0.9670329670329657,2,9,704,24,0.5387010333280494,0.7705246770410972,0.0406293648962722,0.20813428107348736,0.0,0.20308823529411119,0.9775840558672354,0.9944330372189772,0.0,0.2569078947368352,0.9374553571428559,0.9700003646317829,0.0,0.44444444444439507,0.951911521290607,0.9805081786578917
NIH_internal_test,label,Pleural Effusion,739,109,0.736638998106888,0.35594516802575904,0.6880733944954066,0.6587301587301576,0.3759398496240592,0.6630581867388353,0.2586206896551715,0.9242761692650313,75,215,415,34,0.681440479415672,0.7800480047390207,0.26842275557696577,0.4600239186881427,0.5943396226415039,0.765547435190285,0.6141092262392479,0.7043899507254767,0.31372549019607765,0.44116857704974016,0.6220926346375867,0.700916000405006,0.20631444727796808,0.31468430596768765,0.8968871815568747,0.946800424628448
NIH_internal_test,label,Pneumothorax,739,42,0.6918084306893489,0.18965392954106408,0.3333333333333254,0.8651362984218065,0.18666666666666543,0.834912043301758,0.12962962962962843,0.9556259904912822,14,94,603,28,0.6006092359482925,0.782070737816514,0.10430446606920431,0.3556700781338873,0.1999999999999938,0.49999999999998423,0.8309586820942052,0.8970891313945584,0.10773606632887997,0.28394502457002285,0.8010618257857222,0.8673030096336134,0.07077067669172865,0.20942582417582195,0.9383000190204919,0.9717868338557978
NIH_internal_test,label,Consolidation,739,41,0.5924243483122511,0.0720171805297582,0.21951219512194586,0.8624641833810875,0.12328767123287587,0.8267929634641396,0.0857142857142849,0.9495268138801246,9,96,602,32,0.5119927072523925,0.6743926767676766,0.05048473143324177,0.11083267120715845,0.10526315789473406,0.3539373814041636,0.823063506398874,0.8972040887999646,0.05733812949640247,0.19653022226692002,0.7880771170279082,0.8592158550214346,0.03897628818969415,0.14592512208355782,0.9311096172097422,0.9661108539003036
NIH_internal_test,label,Edema,739,15,0.7398710865561694,0.08494045049199953,0.19999999999998666,0.9544198895027611,0.1176470588235271,0.9391069012178607,0.08333333333333101,0.982930298719771,3,33,691,12,0.6040900934859617,0.8634189481107784,0.030087864755411996,0.21914853804418086,0.0,0.44114583333329427,0.9368040303407663,0.9719171164346797,0.0,0.258751393533996,0.9187200742982926,0.9581699834449435,0.0,0.1937851782363917,0.9733874400494302,0.9918280180646728
NIH_internal_test,label,Pneumonia,739,17,0.46773667915919837,0.029929788868671738,0.0,0.9736842105263144,0.0,0.9512855209742883,0.0,0.9763888888888875,0,19,703,17,0.312975417134517,0.6374776270704091,0.014538584811643869,0.06636200374410764,0.0,0.0,0.9610827151908501,0.9840849031619174,0.0,0.0,0.9345231037588486,0.9656489320179262,0.0,0.0,0.964712922234705,0.9869641682606151
NIH_internal_test,label,No Finding,739,375,0.7059047619047619,0.6961336604718585,0.8266666666666644,0.42582417582417464,0.6935123042505585,0.6292286874154254,0.5973025048169545,0.7045454545454514,310,209,155,65,0.6644877951129163,0.7485080667815073,0.6352055749086946,0.7534991497167283,0.7834240578606754,0.8650147887367958,0.3667746113989627,0.4837453728186132,0.6501762705303316,0.7319983312964173,0.5893242055909812,0.66713583556747,0.5437160556687022,0.6472936672571309,0.6310344827586177,0.7702534191472211
NIH_internal_test,macro,macro,739,714,0.6561939160993226,0.2175701518885714,0.3366029091602465,0.8171083705899316,0.23240750242019098,0.8191813261163724,0.19205232812094178,0.9201264392912951,,,,,0.6171337670456554,0.6932985943895683,0.2005605711078541,0.2602033417830281,0.2981134827260831,0.38314281994126953,0.8040374159911455,0.8284365243928193,0.20201957986705296,0.26327077940141125,0.8027754985137467,0.8341362292584752,0.15689675210270038,0.23003170110682886,0.9097928187775338,0.9301321196758889
NIH_internal_test,micro,micro,5912,714,0.7793072211570277,0.32583072044439915,0.6218487394957974,0.8462870334744131,0.45375574859478773,0.8191813261163734,0.35720032180209144,0.9421717712572284,444,799,4399,270,0.7524428645470297,0.8045065907809764,0.28602839537908326,0.3749763820975124,0.5771249468763272,0.661812587904359,0.8324369853171458,0.8605662625287231,0.41660820118929615,0.48892033374054505,0.8027754985137477,0.8341362292584762,0.32223961206680357,0.39156873536483977,0.9341581312499496,0.9493206981251748


