average,label,metric,internal,external,absolute_drop,relative_drop
label,Atelectasis,auroc,0.6602420051858254,0.6123033406828943,0.04793866450293116,0.07260771675597769
label,Atelectasis,auprc,0.2245329688221944,0.17527565401409523,0.04925731480809917,0.2193767581949428
label,Atelectasis,sensitivity,0.3483146067415691,0.08396946564885432,0.2643451410927148,0.7589263728145768
label,Atelectasis,specificity,0.809230769230768,0.9539700805523579,-0.1447393113215899,-0.17886036570158476
label,Atelectasis,f1,0.2540983606557366,0.12087912087912021,0.13321923977661637,0.5242821694434603
label,Atelectasis,accuracy,0.753721244925574,0.8399999999999992,-0.08627875507442517,-0.11447037701974919
label,Atelectasis,ppv,0.1999999999999987,0.21568627450979969,-0.01568627450980098,-0.07843137254900541
label,Atelectasis,npv,0.9006849315068477,0.8735511064278179,0.02713382507902984,0.030125767768352574
label,Cardiomegaly,auroc,0.6549250188801381,0.5854051565377532,0.06951986234238494,0.10614934586138967
label,Cardiomegaly,auprc,0.0874080683572656,0.3528424393568167,-0.2654343709995511,-3.036726196884174
label,Cardiomegaly,sensitivity,0.0769230769230739,0.05797101449275341,0.018952062430320493,0.2463768115941761
label,Cardiomegaly,specificity,0.9873772791023828,0.9682320441988936,0.019145234903489183,0.019389989326971318
label,Cardiomegaly,f1,0.1081081081081051,0.10158730158730125,0.0065208065208038485,0.060317460317437274
label,Cardiomegaly,accuracy,0.9553450608930976,0.7169999999999993,0.23834506089309826,0.24948583569405075
label,Cardiomegaly,ppv,0.1818181818181652,0.4102564102563997,-0.2284382284382345,-1.2564102564104045
label,Cardiomegaly,npv,0.9670329670329656,0.7294484911550461,0.23758447587791953,0.24568394664648532
label,Pleural Effusion,auroc,0.736638998106888,0.7788262718476904,-0.042187273740802333,-0.057269943417631634
label,Pleural Effusion,auprc,0.355945168025759,0.6508094761130068,-0.2948643080872478,-0.8283981202012246
label,Pleural Effusion,sensitivity,0.6880733944954066,0.5868055555555535,0.10126783893985314,0.14717592592592124
label,Pleural Effusion,specificity,0.6587301587301576,0.8356741573033696,-0.17694399857321197,-0.2686137809665632
label,Pleural Effusion,f1,0.3759398496240592,0.5888501742160268,-0.21291032459196763,-0.5663414634146353
label,Pleural Effusion,accuracy,0.6630581867388353,0.7639999999999992,-0.10094181326116392,-0.15223673469387805
label,Pleural Effusion,ppv,0.2586206896551715,0.5909090909090888,-0.33228840125391734,-1.284848484848485
label,Pleural Effusion,npv,0.9242761692650312,0.8333333333333321,0.09094283593169905,0.09839357429718788
label,Pneumothorax,auroc,0.6918084306893489,0.6026585493254561,0.08914988136389279,0.12886498257192364
label,Pneumothorax,auprc,0.189653929541064,0.09146872510373952,0.09818520443732448,0.5177071979205438
label,Pneumothorax,sensitivity,0.3333333333333254,0.20338983050847112,0.12994350282485426,0.38983050847457207
label,Pneumothorax,specificity,0.8651362984218065,0.8916046758767259,-0.026468377454919367,-0.030594459512568534
label,Pneumothorax,f1,0.1866666666666654,0.13872832369942117,0.047938342967244224,0.25681255161023864
label,Pneumothorax,accuracy,0.834912043301758,0.8509999999999991,-0.016087956698241146,-0.01926904376013002
label,Pneumothorax,ppv,0.1296296296296284,0.10526315789473592,0.02436647173489248,0.18796992481202948
label,Pneumothorax,npv,0.9556259904912822,0.9469525959367935,0.008673394554488678,0.009076139243586011
label,Consolidation,auroc,0.5924243483122511,0.5935445887445887,-0.0011202404323376047,-0.0018909425912845093
label,Consolidation,auprc,0.0720171805297582,0.24473559727125888,-0.17271841674150068,-2.398294621796972
label,Consolidation,sensitivity,0.2195121951219458,0.03428571428571409,0.18522648083623172,0.8438095238095209
label,Consolidation,specificity,0.8624641833810875,0.9951515151515139,-0.13268733177042635,-0.15384677338165736
label,Consolidation,f1,0.1232876712328758,0.06486486486486452,0.05842280636801128,0.47387387387387275
label,Consolidation,accuracy,0.8267929634641396,0.8269999999999992,-0.00020703653585962822,-0.0002504091653032168
label,Consolidation,ppv,0.0857142857142849,0.59999999999994,-0.5142857142856552,-5.999999999999368
label,Consolidation,npv,0.9495268138801246,0.8292929292929284,0.1202338845871962,0.12662505453203074
label,Edema,auroc,0.7398710865561694,,,
label,Edema,auprc,0.0849404504919995,,,
label,Edema,sensitivity,0.1999999999999866,0.0,0.1999999999999866,1.0
label,Edema,specificity,0.9544198895027612,0.994999999999999,-0.040580110497237754,-0.04251808972503643
label,Edema,f1,0.1176470588235271,0.0,0.1176470588235271,1.0
label,Edema,accuracy,0.9391069012178608,0.994999999999999,-0.05589309878213822,-0.0595172910662827
label,Edema,ppv,0.083333333333331,0.0,0.083333333333331,1.0
