average,label,internal_auroc,internal_auprc,internal_sensitivity,internal_specificity,internal_f1,internal_accuracy,internal_ppv,internal_npv,external_auroc,external_auprc,external_sensitivity,external_specificity,external_f1,external_accuracy,external_ppv,external_npv
label,Atelectasis,0.6602420051858254,0.2245329688221944,0.3483146067415691,0.809230769230768,0.2540983606557366,0.753721244925574,0.1999999999999987,0.9006849315068477,0.6123033406828943,0.17527565401409523,0.08396946564885432,0.9539700805523579,0.12087912087912021,0.8399999999999992,0.21568627450979969,0.8735511064278179
label,Cardiomegaly,0.6549250188801381,0.0874080683572656,0.0769230769230739,0.9873772791023828,0.1081081081081051,0.9553450608930976,0.1818181818181652,0.9670329670329656,0.5854051565377532,0.3528424393568167,0.05797101449275341,0.9682320441988936,0.10158730158730125,0.7169999999999993,0.4102564102563997,0.7294484911550461
label,Pleural Effusion,0.736638998106888,0.355945168025759,0.6880733944954066,0.6587301587301576,0.3759398496240592,0.6630581867388353,0.2586206896551715,0.9242761692650312,0.7788262718476904,0.6508094761130068,0.5868055555555535,0.8356741573033696,0.5888501742160268,0.7639999999999992,0.5909090909090888,0.8333333333333321
label,Pneumothorax,0.6918084306893489,0.189653929541064,0.3333333333333254,0.8651362984218065,0.1866666666666654,0.834912043301758,0.1296296296296284,0.9556259904912822,0.6026585493254561,0.09146872510373952,0.20338983050847112,0.8916046758767259,0.13872832369942117,0.8509999999999991,0.10526315789473592,0.9469525959367935
label,Consolidation,0.5924243483122511,0.0720171805297582,0.2195121951219458,0.8624641833810875,0.1232876712328758,0.8267929634641396,0.0857142857142849,0.9495268138801246,0.5935445887445887,0.24473559727125888,0.03428571428571409,0.9951515151515139,0.06486486486486452,0.8269999999999992,0.59999999999994,0.8292929292929284
label,Edema,0.7398710865561694,0.0849404504919995,0.1999999999999866,0.9544198895027612,0.1176470588235271,0.9391069012178608,0.083333333333331,0.982930298719771,,,0.0,0.994999999999999,0.0,0.994999999999999,0.0,0.999999999999999
label,Pneumonia,0.4677366791591983,0.0299297888686717,0.0,0.9736842105263144,0.0,0.9512855209742884,0.0,0.9763888888888876,,,0.0,0.982999999999999,0.0,0.982999999999999,0.0,0.999999999999999
label,No Finding,0.7059047619047619,0.6961336604718585,0.8266666666666644,0.4258241758241746,0.6935123042505585,0.6292286874154254,0.5973025048169545,0.7045454545454514,0.7658900924964138,0.7074463015893129,0.942028985507244,0.33105802047781513,0.6521739130434777,0.5839999999999994,0.49872122762148274,0.8899082568807298
macro,macro,0.6561939160993226,0.2175701518885714,0.3366029091602465,0.8171083705899316,0.2324075024201909,0.8191813261163724,0.1920523281209417,0.9201264392912952,0.6564379999391328,0.3704296989080384,0.2385563207498238,0.8692113116950843,0.20838546228627647,0.8201249999999992,0.3026045201489309,0.8878108391283307
micro,micro,0.7793072211570277,0.3258307204443991,0.6218487394957974,0.8462870334744131,0.4537557485947877,0.8191813261163734,0.3572003218020914,0.9421717712572284,0.7499355450362072,0.4361709515850701,0.4497393894266564,0.8948475289169294,0.45636569701548907,0.8201249999999999,0.4631901840490794,0.8896356033452807


