model,dataset_group,dataset,average,label,n,positives,auroc,auprc,sensitivity,specificity,f1,accuracy,ppv,npv,tp,fp,tn,fn,auroc_ci_lower,auroc_ci_upper,auprc_ci_lower,auprc_ci_upper,sensitivity_ci_lower,sensitivity_ci_upper,specificity_ci_lower,specificity_ci_upper,f1_ci_lower,f1_ci_upper,accuracy_ci_lower,accuracy_ci_upper,ppv_ci_lower,ppv_ci_upper,npv_ci_lower,npv_ci_upper,prevalence
DenseNet121,VinDr-derived external,VinDr_external,label,Pleural Effusion,1000,288,0.8106419709737829,0.6374110488760347,0.6631944444444421,0.8103932584269651,0.6221498371335494,0.7679999999999992,0.5858895705521454,0.8560830860534112,191.0,135.0,577.0,97.0,0.7792961945197601,0.8380652845816123,0.5795733858057869,0.6919997714111771,0.6082877087325463,0.7164825661839289,0.7809373279797935,0.8411088164079179,0.5774850952837209,0.6667187789373414,0.7409999999999992,0.7955249999999991,0.5352044669831663,0.6414870121886945,0.8309937652267296,0.881785510169775,0.288
DenseNet121,VinDr-derived external,VinDr_external,label,Pneumothorax,1000,59,0.6566220573137125,0.0915800322038093,0.3559322033898244,0.7821466524973424,0.147368421052631,0.7569999999999992,0.0929203539823004,0.9509043927648566,21.0,205.0,736.0,38.0,0.5979085781511223,0.7184229010999754,0.0656537029532281,0.1350344576373124,0.2327083333333293,0.4833426028920942,0.7556764640459427,0.8075355217066155,0.0897188755020076,0.2083174094923299,0.7299999999999992,0.7845249999999991,0.0554718528324999,0.1343972332015804,0.9344439155957468,0.9647288094579632,0.059
DenseNet121,VinDr-derived external,VinDr_external,label,Consolidation,1000,175,0.7447411255411256,0.3741156326816958,0.1942857142857131,0.9515151515151504,0.2730923694779105,0.8189999999999992,0.4594594594594532,0.847732181425485,34.0,40.0,785.0,141.0,0.7096412395355604,0.7778756929744522,0.3206914257444833,0.4504157359039289,0.1327503360215046,0.2559319177620478,0.9374961536961344,0.9656462277785796,0.1936671667916971,0.3464017991004483,0.7954749999999992,0.8409999999999992,0.3475090579710096,0.5778113996478788,0.8255421253297817,0.8676500931842376,0.175
DenseNet121,VinDr-derived external,VinDr_external,label,Edema,1000,0,,,0.0,0.998999999999999,0.0,0.998999999999999,0.0,0.999999999999999,0.0,1.0,999.0,0.0,,,,,0.0,0.0,0.996999999999999,0.999999999999999,0.0,0.0,0.996999999999999,0.999999999999999,0.0,0.0,0.999999999999999,0.999999999999999,0.0
DenseNet121,VinDr-derived external,VinDr_external,label,Pneumonia,1000,0,,,0.0,0.991999999999999,0.0,0.991999999999999,0.0,0.999999999999999,0.0,8.0,992.0,0.0,,,,,0.0,0.0,0.985474999999999,0.996999999999999,0.0,0.0,0.985474999999999,0.996999999999999,0.0,0.0,0.999999999999999,0.999999999999999,0.0
DenseNet121,VinDr-derived external,VinDr_external,label,No Finding,1000,414,0.8464287480832962,0.7815746977728902,0.9879227053140072,0.2013651877133102,0.6336173508907819,0.5269999999999995,0.4663625997719492,0.9593495934959272,409.0,468.0,118.0,5.0,0.8227763578566247,0.8687662418348392,0.7379229781840411,0.8211998787892614,0.9776907131011584,0.9975619333190524,0.1689374678143159,0.233677958839954,0.602999210734017,0.6641484912356016,0.4974749999999995,0.5575249999999994,0.434111931167343,0.5008693784575328,0.924369747899152,0.9915254237288053,0.414
ResNet50,NIH internal test,NIH_internal_test,label,Atelectasis,739,89,0.6676231633535005,0.2145864020596515,0.4831460674157249,0.7646153846153834,0.3017543859649112,0.7307171853856553,0.2193877551020397,0.9152854511970516,43.0,153.0,497.0,46.0,0.6012534749296423,0.734929315052907,0.1612652864413384,0.3061356570175713,0.3769725557461364,0.5990686274509723,0.725088740115024,0.8045720486111098,0.2299899638088856,0.37568557315619,0.6935484648881041,0.7702510001765006,0.16080873043278,0.2875918138491714,0.8882681564245793,0.940395198153817,0.12043301759133965
ResNet50,NIH internal test,NIH_internal_test,label,Cardiomegaly,739,26,0.6087495954256122,0.0967198717738555,0.3076923076922959,0.8359046283309945,0.1059602649006615,0.8173207036535848,0.0639999999999994,0.9706840390879464,8.0,117.0,596.0,18.0,0.4793994737521467,0.739079410743366,0.0371573323092862,0.2273147442838909,0.1111111111111059,0.49999999999998,0.8018134341390849,0.8678372363461372,0.0296202809481999,0.1884707840236674,0.7822689087090516,0.8506508264462798,0.017930228810828,0.1183506296641781,0.9544636601352104,0.9839139158576036,0.035182679296346414
ResNet50,NIH internal test,NIH_internal_test,label,Pleural Effusion,739,109,0.7123489151012087,0.3780913192816534,0.633027522935774,0.7063492063492052,0.3801652892561973,0.6955345060893089,0.2716535433070856,0.9175257731958744,69.0,185.0,445.0,40.0,0.6586724229022335,0.7647886115805118,0.2897421620855622,0.4682270276322102,0.5341371829105426,0.7192036071273298,0.6614277317186532,0.7458131623206322,0.3076923076923068,0.447775884704458,0.6522444895037265,0.731042730496453,0.2096458730027312,0.3376151315789459,0.8901735459662269,0.9420301332818214,0.14749661705006767
ResNet50,NIH internal test,NIH_internal_test,label,Pneumothorax,739,42,0.6593564254970281,0.0974514128764063,0.3571428571428486,0.8163558106169285,0.1621621621621612,0.7902571041948568,0.1048951048951041,0.9546979865771796,15.0,128.0,569.0,27.0,0.5611751333335854,0.7432988654960215,0.0630732835993528,0.1661348559866209,0.2049369747899108,0.4999999999999883,0.7792485667485656,0.8488451494587022,0.0874589779653065,0.2450030012004789,0.7537643085938459,0.8231299604491269,0.0563919809177642,0.1684073560027746,0.9382801536919464,0.9706633392935065,0.056833558863328824
ResNet50,NIH internal test,NIH_internal_test,label,Consolidation,739,41,0.5853658536585366,0.0672227237686663,0.4146341463414533,0.7349570200573056,0.1399176954732504,0.7171853856562913,0.0841584158415837,0.9553072625698306,17.0,185.0,513.0,24.0,0.5014951484568629,0.6674647091527215,0.0485637720096297,0.10175286734027,0.2894736842105186,0.5749999999999856,0.6926295124461546,0.7794499720803713,0.08527914166212,0.2090389784946227,0.6745920190589627,0.7594825987431237,0.0497205164541014,0.1301369147157184,0.9356885946622168,0.9726323676323658,0.05548037889039242
ResNet50,NIH internal test,NIH_internal_test,label,Edema,739,15,0.7139042357274402,0.052040606750311,0.1999999999999866,0.948895027624308,0.1090909090909071,0.933694181326115,0.0749999999999981,0.9828326180257496,3.0,37.0,687.0,12.0,0.5746072698881272,0.8354489114716427,0.0213657466375653,0.1176637100047581,0.0,0.4332589285713994,0.9256017967362028,0.967521815909272,0.0,0.2425714285714243,0.9090797139141732,0.9540359311740878,0.0,0.1835858585858523,0.9741455334055475,0.9927909406578768,0.02029769959404601
ResNet50,NIH internal test,NIH_internal_test,label,Pneumonia,739,17,0.543343653250774,0.0249655085082893,0.235294117647045,0.7257617728531846,0.0365296803652966,0.7144790257104185,0.0198019801980197,0.9757914338919907,4.0,198.0,524.0,13.0,0.4369224792817679,0.6498787580791486,0.0145198847678359,0.0442659174882985,0.0499999999999975,0.4560576923076627,0.6837666047844856,0.7650345699154798,0.0083498953974895,0.0716208791208787,0.6734181301652883,0.7530930921939086,0.0044435445638432,0.0397875678426049,0.9613147657318722,0.9871683133380362,0.023004059539918808
ResNet50,NIH internal test,NIH_internal_test,label,No Finding,739,375,0.6842783882783883,0.6721351474023666,0.7066666666666648,0.5604395604395589,0.6624999999999992,0.634641407307171,0.6235294117647043,0.6496815286624182,265.0,160.0,204.0,110.0,0.6367130678536373,0.7337593565606992,0.6060946360667867,0.7291352846668464,0.6466934231881994,0.7588987087411135,0.501427888270347,0.6229130057871166,0.6110118800939348,0.7027060661939754,0.5952846364883394,0.6721956038463277,0.5639463977631017,0.6698998829039796,0.5838015262588612,0.7169060309939764,0.5074424898511503
ResNet50,VinDr-derived external,VinDr_external,label,Atelectasis,1000,131,0.7014028584228603,0.2327422372948973,0.3206106870228983,0.8481012658227838,0.2754098360655728,0.7789999999999992,0.2413793103448262,0.8922518159806284,42.0,132.0,737.0,89.0,0.662111932580419,0.7405957834766393,0.1837845855061786,0.2885809907125552,0.2424161585365833,0.396420581655478,0.8252512355574466,0.8734324881318953,0.204011143931256,0.3338853838065184,0.7524749999999992,0.8039999999999992,0.1767616421568617,0.3064347367113743,0.8710419359809592,0.91286530748663,0.131
ResNet50,VinDr-derived external,VinDr_external,label,Cardiomegaly,1000,276,0.6205711025702618,0.4009995912881622,0.3731884057971,0.7955801104972364,0.3908918406072099,0.6789999999999993,0.4103585657370501,0.7690253671562072,103.0,148.0,576.0,173.0,0.5781934658732537,0.6576173618905353,0.3489490202833189,0.467499713018928,0.3158641251221885,0.4281034482758604,0.7644149053623285,0.8248195200832686,0.3366016531777394,0.4423214478150754,0.6529999999999994,0.7075249999999993,0.3510122300719793,0.4728469488188956,0.7432696057117607,0.7964001964850209,0.276
ResNet50,VinDr-derived external,VinDr_external,label,Pleural Effusion,1000,288,0.800283824906367,0.6670184289583508,0.7916666666666639,0.6839887640449428,0.6153846153846145,0.7149999999999993,0.5033112582781446,0.8903107861060312,228.0,225.0,487.0,60.0,0.7681761267084154,0.8341768745648985,0.6078669634422642,0.7244377778100015,0.7460306331893336,0.8367718962585005,0.649362905925677,0.718830629073014,0.5731938887839565,0.6584131340960059,0.6879999999999993,0.7445249999999992,0.4588744588744579,0.5503696340849971,0.8608266610837624,0.9146483908261248,0.288
ResNet50,VinDr-derived external,VinDr_external,label,Pneumothorax,1000,59,0.6626740395180029,0.0881214115566886,0.2711864406779615,0.8204038257173211,0.131147540983606,0.7879999999999991,0.086486486486486,0.9472392638036798,16.0,169.0,772.0,43.0,0.6017784855721544,0.7255973556054429,0.0655571053339709,0.1223078618718776,0.1634415584415552,0.382095490716174,0.7959112936724042,0.8453684500827349,0.0745636054684479,0.1860632421775048,0.7624749999999992,0.8119999999999992,0.0463669705264834,0.1256628787878781,0.9326660010450868,0.9609756097560964,0.059
