average,label,metric,internal,external,absolute_drop,relative_drop
label,Atelectasis,auroc,0.6676231633535005,0.7014028584228603,-0.03377969506935985,-0.05059694888308392
label,Atelectasis,auprc,0.2145864020596515,0.23274223729489737,-0.018155835235245887,-0.08460850762668021
label,Atelectasis,sensitivity,0.4831460674157249,0.32061068702289836,0.16253538039282656,0.336410438487482
label,Atelectasis,specificity,0.7646153846153834,0.8481012658227838,-0.08348588120740041,-0.10918676616662044
label,Atelectasis,f1,0.3017543859649112,0.27540983606557284,0.026344549899338376,0.0873046130385054
label,Atelectasis,accuracy,0.7307171853856553,0.7789999999999992,-0.048282814614343916,-0.0660759259259263
label,Atelectasis,ppv,0.2193877551020397,0.2413793103448262,-0.02199155524278651,-0.10024057738572506
label,Atelectasis,npv,0.9152854511970516,0.8922518159806284,0.02303363521642321,0.02516552097086082
label,Cardiomegaly,auroc,0.6087495954256122,0.6205711025702618,-0.011821507144649579,-0.019419326490696845
label,Cardiomegaly,auprc,0.0967198717738555,0.40099959128816226,-0.30427971951430677,-3.145989690988787
label,Cardiomegaly,sensitivity,0.3076923076922959,0.37318840579710005,-0.06549609810480417,-0.2128623188406217
label,Cardiomegaly,specificity,0.8359046283309945,0.7955801104972364,0.04032451783375812,0.048240572509177154
label,Cardiomegaly,f1,0.1059602649006615,0.3908918406072099,-0.28493157570654837,-2.6890417457305693
label,Cardiomegaly,accuracy,0.8173207036535848,0.6789999999999993,0.1383207036535855,0.16923675496688714
label,Cardiomegaly,ppv,0.0639999999999994,0.41035856573705015,-0.34635856573705076,-5.411852589641469
label,Cardiomegaly,npv,0.9706840390879464,0.7690253671562072,0.20165867193173925,0.2077490345068592
label,Pleural Effusion,auroc,0.7123489151012087,0.800283824906367,-0.08793490980515828,-0.12344359335855058
label,Pleural Effusion,auprc,0.3780913192816534,0.6670184289583508,-0.28892710967669744,-0.7641728200098282
label,Pleural Effusion,sensitivity,0.633027522935774,0.7916666666666639,-0.15863914373088983,-0.2506038647343065
label,Pleural Effusion,specificity,0.7063492063492052,0.6839887640449428,0.022360442304262373,0.031656356520641166
label,Pleural Effusion,f1,0.3801652892561973,0.6153846153846145,-0.23521932612841723,-0.6187290969899688
label,Pleural Effusion,accuracy,0.6955345060893089,0.7149999999999993,-0.019465493910690412,-0.027986381322957655
label,Pleural Effusion,ppv,0.2716535433070856,0.5033112582781446,-0.23165771497105903,-0.8527689797485394
label,Pleural Effusion,npv,0.9175257731958744,0.8903107861060312,0.027214987089843157,0.029661278064211143
label,Pneumothorax,auroc,0.6593564254970281,0.6626740395180029,-0.0033176140209747462,-0.00503159428297662
label,Pneumothorax,auprc,0.0974514128764063,0.08812141155668869,0.009330001319717604,0.09574003130719581
label,Pneumothorax,sensitivity,0.3571428571428486,0.2711864406779615,0.08595641646488711,0.24067796610168965
label,Pneumothorax,specificity,0.8163558106169285,0.8204038257173211,-0.0040480151003925435,-0.0049586406414298895
label,Pneumothorax,f1,0.1621621621621612,0.131147540983606,0.03101462117855519,0.19125683060109147
label,Pneumothorax,accuracy,0.7902571041948568,0.7879999999999991,0.0022571041948576953,0.0028561643835613684
label,Pneumothorax,ppv,0.1048951048951041,0.08648648648648602,0.018408618408618085,0.17549549549549373
label,Pneumothorax,npv,0.9546979865771796,0.9472392638036798,0.007458722773499793,0.007812651622154453
label,Consolidation,auroc,0.5853658536585366,0.7641419913419913,-0.1787761376834548,-0.3054092352092353
label,Consolidation,auprc,0.0672227237686663,0.37470685665927606,-0.3074841328906098,-4.574109998112477
label,Consolidation,sensitivity,0.4146341463414533,0.3314285714285695,0.08320557491288377,0.2006722689075481
label,Consolidation,specificity,0.7349570200573056,0.909090909090908,-0.17413388903360238,-0.23693071061492132
label,Consolidation,f1,0.1399176954732504,0.37662337662337536,-0.23670568115012497,-1.691749427043548
label,Consolidation,accuracy,0.7171853856562913,0.8079999999999992,-0.09081461434370786,-0.12662641509434
label,Consolidation,ppv,0.0841584158415837,0.43609022556390653,-0.35193180972232285,-4.181777974347623
label,Consolidation,npv,0.9553072625698306,0.8650519031141858,0.09025535945564478,0.09447783241263419
label,Edema,auroc,0.7139042357274402,,,
label,Edema,auprc,0.052040606750311,,,
label,Edema,sensitivity,0.1999999999999866,0.0,0.1999999999999866,1.0
label,Edema,specificity,0.948895027624308,0.993999999999999,-0.045104972375691,-0.04753420669577923
label,Edema,f1,0.1090909090909071,0.0,0.1090909090909071,1.0
label,Edema,accuracy,0.933694181326115,0.993999999999999,-0.06030581867388396,-0.0645884057971019
label,Edema,ppv,0.0749999999999981,0.0,0.0749999999999981,1.0
label,Edema,npv,0.9828326180257496,0.999999999999999,-0.017167381974249385,-0.017467248908297435
label,Pneumonia,auroc,0.543343653250774,,,
label,Pneumonia,auprc,0.0249655085082893,,,
label,Pneumonia,sensitivity,0.235294117647045,0.0,0.235294117647045,1.0
label,Pneumonia,specificity,0.7257617728531846,0.8949999999999991,-0.16923822714681458,-0.23318702290076393
label,Pneumonia,f1,0.0365296803652966,0.0,0.0365296803652966,1.0
label,Pneumonia,accuracy,0.7144790257104185,0.8949999999999991,-0.18052097428958058,-0.25266098484848526
label,Pneumonia,ppv,0.0198019801980197,0.0,0.0198019801980197,1.0
label,Pneumonia,npv,0.9757914338919907,0.9999999999999989,-0.024208566108008145,-0.02480916030534427
label,No Finding,auroc,0.6842783882783883,0.8189642380175101,-0.1346858497391218,-0.19682902755117687
label,No Finding,auprc,0.6721351474023666,0.7465312029815581,-0.07439605557919149,-0.1106861557035271
label,No Finding,sensitivity,0.7066666666666648,0.8405797101449255,-0.13391304347826072,-0.18949958982772794
label,No Finding,specificity,0.5604395604395589,0.6262798634812276,-0.06584030304166866,-0.11747975640768361
label,No Finding,f1,0.6624999999999992,0.7094801223241582,-0.046980122324159046,-0.07091339218740997
label,No Finding,accuracy,0.634641407307171,0.7149999999999993,-0.0803585926928283,-0.12662046908315605
label,No Finding,ppv,0.6235294117647043,0.6137566137566126,0.009772798008091721,0.015673355295996196
label,No Finding,npv,0.6496815286624182,0.8475750577367186,-0.19789352907430036,-0.3046008241633849
macro,macro,auroc,0.6468712787865611,0.7280063424628321,-0.08113506367627099,-0.12542690692415479
macro,macro,auprc,0.20040162405265,0.4183532881231555,-0.21795166407050548,-1.0875743402820164
macro,macro,sensitivity,0.4172004607302241,0.3660825602172648,0.05111790051295928,0.1225259924773042
macro,macro,specificity,0.7616598013608585,0.8215555923318023,-0.059895790970943774,-0.07863850877245705
macro,macro,f1,0.237260048401673,0.3123671664985671,-0.0751071180968941,-0.3165603252754141
macro,macro,accuracy,0.7542286874154251,0.7966249999999993,-0.0423963125845741,-0.056211482395156415
macro,macro,ppv,0.1828032763885668,0.28642280752087823,-0.10361953113231143,-0.5668362907897649
macro,macro,npv,0.9152257616510052,0.9014317742371811,0.013793987413824094,0.01507167738475879
