dataset,subgroup_variable,subgroup,n_images,n_patients,macro_auroc,macro_auprc,macro_f1,macro_accuracy
NIH_internal_test,sex,F,299,160,0.6809131049793002,0.24611858067876796,0.2650036483918078,0.751672240802673
NIH_internal_test,sex,M,440,219,0.6739314555456777,0.18905389739109707,0.2251417385349113,0.7863636363636345
NIH_internal_test,view_position,AP,356,220,0.6517148756025002,0.20183377918566253,0.22946928284958584,0.690308988764043
NIH_internal_test,view_position,PA,383,249,0.6781823991947679,0.23207317299924435,0.2410858317120279,0.848563968668405


