model,internal_all_label_macro_AUROC,internal_all_label_macro_AUPRC,internal_external_evaluable_macro_AUROC,internal_external_evaluable_macro_AUPRC,external_nonzero_prevalence_macro_AUROC,external_nonzero_prevalence_macro_AUPRC
DenseNet121,0.6802725155959937,0.2135116532463062,0.6672755747127509,0.2686717932328058,0.7425450139696842,0.4343299480628059
ResNet50,0.6468712787865611,0.20040162405265,0.652953723552379,0.2543678128604332,0.7280063424628321,0.4183532881231555
EfficientNet-B0,0.6561939160993226,0.2175701518885714,0.6736572605132022,0.2709484959579833,0.6564379999391328,0.3704296989080383


