dataset,method,average,label,brier,ece,mce,slope,intercept
NIH_internal_test,uncalibrated,label,Atelectasis,0.16309152267460858,0.2007090092141368,0.9271046966314316,0.5029362557433749,-1.6345063460901332
NIH_internal_test,uncalibrated,label,Cardiomegaly,0.043256152050219314,0.04541300250620122,0.911959946155548,0.28729365095090115,-2.4482138087799488
NIH_internal_test,uncalibrated,label,Pleural Effusion,0.19689587640434011,0.24389145196527648,0.5150159567594529,0.6223971338894041,-1.6338241015269588
NIH_internal_test,uncalibrated,label,Pneumothorax,0.16702529421394466,0.27638187906635525,0.9235092997550964,0.41147893549407355,-2.5359386729561457
NIH_internal_test,uncalibrated,label,Consolidation,0.13999779553236308,0.1575158737115915,0.8955798894166946,0.10528372544066296,-2.6318220532567755
NIH_internal_test,uncalibrated,label,Edema,0.05897198825957357,0.081577579481487,0.9518815108707973,0.29611806768064836,-2.996153449680711
NIH_internal_test,uncalibrated,label,Pneumonia,0.026482682549611176,0.03129198130606751,0.3024719357490539,0.16060520807793338,-3.2209178520429456
NIH_internal_test,uncalibrated,label,No Finding,0.23436473690030157,0.0990089522082364,0.16076161712408066,0.8863854591552489,-0.40411147366269917
NIH_internal_test,uncalibrated,macro,macro,0.12876075607312026,0.14197371618241905,0.6985356065577695,0.4090623045540309,-2.18818596974954
NIH_internal_test,uncalibrated,micro,micro,0.12876075607312026,0.1411011817873457,0.6075417586226961,0.6682045935231,-1.3826631491646404
NIH_internal_test,temperature,label,Atelectasis,0.1650692091097505,0.21580798059684828,0.9307486456278147,0.5863912294240228,-1.634261224707921
NIH_internal_test,temperature,label,Cardiomegaly,0.04617561204048645,0.0633632147110653,0.7020910743715533,0.33716086516236016,-2.440445001526417
NIH_internal_test,temperature,label,Pleural Effusion,0.19538366827442205,0.25300942457053593,0.4768659377566593,0.7251950334601086,-1.6339914413812768
NIH_internal_test,temperature,label,Pneumothorax,0.16787196442263044,0.2893220940426864,0.8342593614917141,0.47969243977416043,-2.535304288119772
NIH_internal_test,temperature,label,Consolidation,0.13732279406697542,0.16647586453269078,0.9287318307533567,0.12264823825179469,-2.632263398855997
NIH_internal_test,temperature,label,Edema,0.059014451859320895,0.09308717001081138,0.9344435066469486,0.3464271150178511,-2.9928595108783633
NIH_internal_test,temperature,label,Pneumonia,0.02900366312584941,0.05139160670690839,0.31744970874010664,0.18499405831827154,-3.228352903949601
NIH_internal_test,temperature,label,No Finding,0.23213726873617685,0.08716108854950726,0.1440860065659899,1.03331728485913,-0.4041720867791668
NIH_internal_test,temperature,macro,macro,0.1289973289544515,0.15245230546513172,0.6585845089942679,0.4769782830334624,-2.1877062320248144
NIH_internal_test,temperature,micro,micro,0.1289973289544515,0.1524523054651317,0.6948549986995108,0.7791680870268124,-1.3824441099812774
NIH_internal_test,platt,label,Atelectasis,0.10318284556935377,0.03561764664021329,0.4355239618037586,1.1791013541726862,-0.028825845789643416
NIH_internal_test,platt,label,Cardiomegaly,0.03364237154987163,0.005425690876524451,0.11165684488599946,1.1141885811610657,0.5509508365322331
NIH_internal_test,platt,label,Pleural Effusion,0.11264722026122806,0.02976508659264283,0.3346200861063914,1.1498971777507863,0.01240943745431126
NIH_internal_test,platt,label,Pneumothorax,0.05474602895801992,0.041027106720188916,0.22384411326422418,1.066531952634421,-0.45776048783377044
NIH_internal_test,platt,label,Consolidation,0.05324155533283068,0.020714118980420478,0.08162232430054081,0.5440509728510539,-1.4622564048536795
NIH_internal_test,platt,label,Edema,0.020428306571491306,0.021084267113986067,0.23359417176743177,1.031311118653179,-0.6592114160208356
NIH_internal_test,platt,label,Pneumonia,0.02247366328952367,0.0030900128961307075,0.0030900128961307075,0.903300343372953,-0.23056545103591738
NIH_internal_test,platt,label,No Finding,0.226543156935138,0.04634450148317959,0.07725126208243527,0.9639820053214763,0.19203467699274576
NIH_internal_test,platt,macro,macro,0.07836314355843213,0.025383553912910792,0.187650347138364,0.9940454382397027,-0.2604030818193195
NIH_internal_test,platt,micro,micro,0.07836314355843213,0.020912950646948678,0.07062325218806897,1.1402596281803465,0.06385443290627929
NIH_internal_test,isotonic,label,Atelectasis,0.1035196965662578,0.04534517622661394,0.06102419019290668,0.164437518603677,-1.6046663844999896
NIH_internal_test,isotonic,label,Cardiomegaly,0.033214071174739505,0.005671732681457917,0.0727272727272727,0.17085710158370998,-2.629984747770029
NIH_internal_test,isotonic,label,Pleural Effusion,0.11269480650764489,0.03225173829795432,0.5479708621808064,0.9435353586194197,-0.29606741776514456
NIH_internal_test,isotonic,label,Pneumothorax,0.05491794312034859,0.04059527460131977,0.089748753620399,0.20127571184897153,-2.2779650570888355
NIH_internal_test,isotonic,label,Consolidation,0.05286782843478919,0.017756137492955622,0.05145502645502649,0.6057873659272532,-1.2581819340524818
NIH_internal_test,isotonic,label,Edema,0.020381781969648932,0.019858016244875473,0.05944352715602308,0.176311763374032,-3.1903530526783452
