dataset,average,label,n,positives,auroc,auprc,sensitivity,specificity,f1,accuracy,ppv,npv,tp,fp,tn,fn,auroc_ci_lower,auroc_ci_upper,auprc_ci_lower,auprc_ci_upper,sensitivity_ci_lower,sensitivity_ci_upper,specificity_ci_lower,specificity_ci_upper,f1_ci_lower,f1_ci_upper,accuracy_ci_lower,accuracy_ci_upper,ppv_ci_lower,ppv_ci_upper,npv_ci_lower,npv_ci_upper
VinDr_external,label,Atelectasis,1000,131,0.7014028584228603,0.23274223729489737,0.32061068702289836,0.8481012658227838,0.27540983606557284,0.7789999999999992,0.2413793103448262,0.8922518159806284,42,132,737,89,0.662111932580419,0.7405957834766393,0.18378458550617865,0.2885809907125552,0.2424161585365833,0.39642058165547805,0.8252512355574466,0.8734324881318953,0.204011143931256,0.3338853838065184,0.7524749999999992,0.8039999999999992,0.17676164215686171,0.30643473671137433,0.8710419359809592,0.9128653074866299
VinDr_external,label,Cardiomegaly,1000,276,0.6205711025702618,0.40099959128816226,0.37318840579710005,0.7955801104972364,0.3908918406072099,0.6789999999999993,0.41035856573705015,0.7690253671562072,103,148,576,173,0.5781934658732537,0.6576173618905353,0.3489490202833189,0.46749971301892806,0.3158641251221885,0.42810344827586044,0.7644149053623285,0.8248195200832686,0.33660165317773943,0.4423214478150754,0.6529999999999994,0.7075249999999993,0.35101223007197935,0.4728469488188956,0.7432696057117607,0.7964001964850209
VinDr_external,label,Pleural Effusion,1000,288,0.800283824906367,0.6670184289583508,0.7916666666666639,0.6839887640449428,0.6153846153846145,0.7149999999999993,0.5033112582781446,0.8903107861060312,228,225,487,60,0.7681761267084154,0.8341768745648985,0.6078669634422642,0.7244377778100015,0.7460306331893336,0.8367718962585005,0.649362905925677,0.718830629073014,0.5731938887839565,0.6584131340960059,0.6879999999999993,0.7445249999999992,0.4588744588744579,0.5503696340849971,0.8608266610837624,0.9146483908261249
VinDr_external,label,Pneumothorax,1000,59,0.6626740395180029,0.08812141155668869,0.2711864406779615,0.8204038257173211,0.131147540983606,0.7879999999999991,0.08648648648648602,0.9472392638036798,16,169,772,43,0.6017784855721544,0.7255973556054429,0.06555710533397092,0.12230786187187763,0.16344155844155528,0.38209549071617405,0.7959112936724042,0.8453684500827349,0.07456360546844797,0.1860632421775048,0.7624749999999992,0.8119999999999992,0.046366970526483406,0.12566287878787813,0.9326660010450869,0.9609756097560964
VinDr_external,label,Consolidation,1000,175,0.7641419913419913,0.37470685665927606,0.3314285714285695,0.909090909090908,0.37662337662337536,0.8079999999999992,0.43609022556390653,0.8650519031141858,58,75,750,117,0.7304045193410329,0.7987104033441991,0.3174817583962775,0.4496651967928456,0.2636717688615147,0.40530538302277214,0.887469584771742,0.9275985621423307,0.3101125095347052,0.43953658536585233,0.7844749999999993,0.8329999999999992,0.3538425047438303,0.5208170435987493,0.8436824725838681,0.8870445736816415
VinDr_external,label,Edema,1000,0,,,0.0,0.993999999999999,0.0,0.993999999999999,0.0,0.999999999999999,0,6,994,0,,,,,0.0,0.0,0.988999999999999,0.997999999999999,0.0,0.0,0.988999999999999,0.997999999999999,0.0,0.0,0.999999999999999,0.999999999999999
VinDr_external,label,Pneumonia,1000,0,,,0.0,0.8949999999999991,0.0,0.8949999999999991,0.0,0.9999999999999989,0,105,895,0,,,,,0.0,0.0,0.8754749999999991,0.914999999999999,0.0,0.0,0.8754749999999991,0.914999999999999,0.0,0.0,0.9999999999999988,0.9999999999999989
VinDr_external,label,No Finding,1000,414,0.8189642380175101,0.7465312029815581,0.8405797101449255,0.6262798634812276,0.7094801223241582,0.7149999999999993,0.6137566137566126,0.8475750577367186,348,219,367,66,0.7920646492103687,0.8433321244792362,0.7037565222093141,0.7903145444749616,0.8046604332195382,0.8782557977680386,0.5879915753135575,0.6672411726403635,0.6763004085566598,0.7426400363719546,0.6859999999999993,0.7439999999999992,0.5733153064568983,0.6561860068259374,0.8113973816880774,0.8812766781051201
VinDr_external,macro,macro,1000,1343,0.7280063424628321,0.4183532881231555,0.3660825602172648,0.8215555923318023,0.3123671664985671,0.7966249999999993,0.28642280752087823,0.9014317742371811,,,,,0.7075898759193904,0.745679141503961,0.3999058149934012,0.44248896988171943,0.3426773722733725,0.3876342146829249,0.8124684911314829,0.8312847033836913,0.2936820348168966,0.3276611492921789,0.7869343749999993,0.8072499999999991,0.27019545848679966,0.3022543391908359,0.8943729643886191,0.9081295810599604
VinDr_external,micro,micro,8000,1343,0.7781553543032035,0.47657540654115416,0.5919583023082646,0.8379149767162384,0.49424930059061223,0.7966249999999999,0.42422625400213426,0.9105452171074109,795,1079,5578,548,0.7635864674242607,0.7930189321589013,0.44816222022732083,0.5046487290335009,0.5651300246768556,0.6161802536149141,0.8286305013880221,0.8480307142144606,0.4742711675567846,0.5146616706289467,0.7869343749999999,0.8072499999999999,0.40538720758464386,0.4445716015743261,0.9040925063436343,0.9167778868135177


