model,internal_macro_auroc,internal_macro_auprc,external_macro_auroc,external_macro_auprc,macro_auroc_absolute_drop,macro_auroc_relative_drop,macro_auprc_absolute_drop
DenseNet121,0.6802725155959937,0.2135116532463062,0.7425450139696842,0.434329948062806,-0.0622724983736905,-0.0915405178748592,-0.2208182948164998
ResNet50,0.6468712787865611,0.20040162405265,0.7280063424628321,0.4183532881231555,-0.0811350636762709,-0.1254269069241547,-0.2179516640705054
EfficientNet-B0,0.6561939160993226,0.2175701518885714,0.6564379999391328,0.3704296989080384,-0.0002440838398101,-0.0003719690686269,-0.152859547019467


