dataset,average,label,metric,ci_lower,ci_upper,n_bootstrap
NIH_internal_test,macro,macro,specificity,0.8040374159911455,0.8284365243928193,500
NIH_internal_test,macro,macro,f1,0.20201957986705296,0.26327077940141125,500
NIH_internal_test,macro,macro,accuracy,0.8027754985137467,0.8341362292584752,500
NIH_internal_test,macro,macro,ppv,0.15689675210270038,0.23003170110682886,500
NIH_internal_test,macro,macro,npv,0.9097928187775338,0.9301321196758889,500
NIH_internal_test,micro,micro,auroc,0.7524428645470297,0.8045065907809764,500
NIH_internal_test,micro,micro,auprc,0.28602839537908326,0.3749763820975124,500
NIH_internal_test,micro,micro,sensitivity,0.5771249468763272,0.661812587904359,500
NIH_internal_test,micro,micro,specificity,0.8324369853171458,0.8605662625287231,500
NIH_internal_test,micro,micro,f1,0.41660820118929615,0.48892033374054505,500
NIH_internal_test,micro,micro,accuracy,0.8027754985137477,0.8341362292584762,500
NIH_internal_test,micro,micro,ppv,0.32223961206680357,0.39156873536483977,500
NIH_internal_test,micro,micro,npv,0.9341581312499496,0.9493206981251748,500


