dataset,average,label,n,positives,auroc,auprc,sensitivity,specificity,f1,accuracy,ppv,npv,tp,fp,tn,fn,auroc_ci_lower,auroc_ci_upper,auprc_ci_lower,auprc_ci_upper,sensitivity_ci_lower,sensitivity_ci_upper,specificity_ci_lower,specificity_ci_upper,f1_ci_lower,f1_ci_upper,accuracy_ci_lower,accuracy_ci_upper,ppv_ci_lower,ppv_ci_upper,npv_ci_lower,npv_ci_upper
VinDr_external,label,Atelectasis,1000,131,0.6172401373870113,0.15650374595658806,0.12977099236641124,0.8365937859608736,0.11724137931034441,0.7439999999999992,0.10691823899371003,0.8644470868014258,17,142,727,114,0.5773540845488812,0.6577777400719754,0.13187018678929677,0.19410389753605542,0.07780704941860404,0.18612980769230608,0.810539823393796,0.8631578947368411,0.07053004852556899,0.16463365243004358,0.7184749999999993,0.7739999999999992,0.06329113924050593,0.15308591752289633,0.8407032102760009,0.8870457951589176
VinDr_external,label,Cardiomegaly,1000,276,0.7795960445191769,0.5647945308858178,0.23913043478260781,0.9558011049723744,0.35294117647058726,0.7579999999999992,0.6734693877550952,0.7671840354767175,66,32,692,210,0.7520036831645341,0.8100095179949997,0.5054944379787691,0.6248146974998733,0.1887856506238852,0.28836401587736,0.9410019532132038,0.9701218015615324,0.28727709652787053,0.4094336424983812,0.7349999999999992,0.7829999999999993,0.5791764705882296,0.7681665421956604,0.7425313463614867,0.7932185773096456
VinDr_external,label,Pleural Effusion,1000,288,0.8106419709737829,0.6374110488760347,0.6631944444444421,0.8103932584269651,0.6221498371335494,0.7679999999999992,0.5858895705521454,0.8560830860534112,191,135,577,97,0.7792961945197601,0.8380652845816123,0.5795733858057869,0.6919997714111771,0.6082877087325463,0.7164825661839289,0.7809373279797935,0.8411088164079179,0.5774850952837209,0.6667187789373414,0.7409999999999992,0.7955249999999991,0.5352044669831663,0.6414870121886945,0.8309937652267296,0.881785510169775
VinDr_external,label,Pneumothorax,1000,59,0.6566220573137125,0.0915800322038093,0.35593220338982445,0.7821466524973424,0.14736842105263104,0.7569999999999992,0.09292035398230047,0.9509043927648566,21,205,736,38,0.5979085781511223,0.7184229010999754,0.06565370295322816,0.13503445763731242,0.2327083333333293,0.48334260289209424,0.7556764640459427,0.8075355217066155,0.08971887550200769,0.20831740949232994,0.7299999999999992,0.7845249999999991,0.055471852832499904,0.1343972332015804,0.9344439155957468,0.9647288094579632
VinDr_external,label,Consolidation,1000,175,0.7447411255411256,0.37411563268169584,0.19428571428571317,0.9515151515151503,0.27309236947791055,0.8189999999999992,0.45945945945945327,0.847732181425485,34,40,785,141,0.7096412395355604,0.7778756929744522,0.32069142574448334,0.4504157359039289,0.1327503360215046,0.2559319177620478,0.9374961536961343,0.9656462277785796,0.1936671667916971,0.3464017991004483,0.7954749999999992,0.8409999999999992,0.3475090579710096,0.5778113996478788,0.8255421253297817,0.8676500931842376
VinDr_external,label,Edema,1000,0,,,0.0,0.998999999999999,0.0,0.998999999999999,0.0,0.999999999999999,0,1,999,0,,,,,0.0,0.0,0.996999999999999,0.999999999999999,0.0,0.0,0.996999999999999,0.999999999999999,0.0,0.0,0.999999999999999,0.999999999999999
VinDr_external,label,Pneumonia,1000,0,,,0.0,0.991999999999999,0.0,0.991999999999999,0.0,0.999999999999999,0,8,992,0,,,,,0.0,0.0,0.985474999999999,0.996999999999999,0.0,0.0,0.985474999999999,0.996999999999999,0.0,0.0,0.999999999999999,0.999999999999999
VinDr_external,label,No Finding,1000,414,0.8464287480832962,0.7815746977728902,0.9879227053140072,0.20136518771331022,0.6336173508907819,0.5269999999999995,0.46636259977194927,0.9593495934959272,409,468,118,5,0.8227763578566247,0.8687662418348392,0.7379229781840411,0.8211998787892614,0.9776907131011584,0.9975619333190523,0.1689374678143159,0.23367795883995407,0.602999210734017,0.6641484912356016,0.4974749999999995,0.5575249999999994,0.43411193116734303,0.5008693784575328,0.9243697478991519,0.9915254237288053
VinDr_external,macro,macro,1000,1343,0.7425450139696842,0.434329948062806,0.32127956182287576,0.8161018926357517,0.26830131679197555,0.7954999999999992,0.2981274513143317,0.9057125470022276,,,,,0.7243777241899358,0.7600859136096608,0.41717712803759444,0.4593308291803243,0.3007997117549755,0.3429093893338302,0.8074793338893664,0.8241675889091035,0.25108412996055013,0.2845613331716456,0.7836187499999993,0.8071249999999992,0.2777714318570626,0.3207590201141059,0.8976329244491785,0.9134367506810243
VinDr_external,micro,micro,8000,1343,0.8390595626502807,0.5288568518145502,0.5495160089352192,0.8451254318762204,0.47429305912596387,0.7954999999999999,0.4171848501978517,0.9029048306852832,738,1031,5626,605,0.8258146260361935,0.8519978031240817,0.5010211557854526,0.5575807588490902,0.5229742056480623,0.5761117495118773,0.83493443120233,0.8547965030583171,0.4517573650169298,0.49616434533279635,0.7836187499999999,0.8071249999999999,0.39629450533705834,0.43918183360079305,0.8948376973578046,0.9096893197869874


