dataset,method,average,label,brier,ece,mce,slope,intercept
VinDr_external,isotonic,label,Pleural Effusion,0.18984770460567676,0.13726114083510532,0.3786084739809754,1.6196650468928573,1.8703777279903684
VinDr_external,isotonic,label,Pneumothorax,0.05993917940794146,0.05882957880103991,0.21329366334501793,0.7429581862858048,-1.2462222365656852
VinDr_external,isotonic,label,Consolidation,0.15390895063658036,0.11270609138344177,0.3231120923681439,0.9764079915526344,1.1145848684267683
VinDr_external,isotonic,label,Edema,0.00021093670233202568,0.010209173831605332,0.18572585965440214,,
VinDr_external,isotonic,label,Pneumonia,0.0002763925552946309,0.016295871932390703,0.016295871932390703,,
VinDr_external,isotonic,label,No Finding,0.1822393214398241,0.1346101925686584,0.23119569198891132,2.036300998901104,-0.5269945154292158
VinDr_external,isotonic,macro,macro,0.11940047520425781,0.09531210971775468,0.32152138090115445,1.1585241407129465,0.5476812959422029
VinDr_external,isotonic,micro,micro,0.1194004752042578,0.0709700518099622,0.21282654127481712,0.6707019557918285,-0.15453371199196062


