epoch,train_loss,val_loss,val_macro_auprc,lr,best_val_macro_auprc,improved
1,1.1575568030689491,3.614206967371035,0.23867577244535115,0.0001,0.23867577244535115,True
2,1.0027547040151188,3.3444376568501606,0.2766172717052375,0.0001,0.2766172717052375,True
3,0.8575858326267956,4.53008059474105,0.27382067726365933,0.0001,0.2766172717052375,False
4,0.7307755571663846,5.548243000188889,0.2595906603325241,0.0001,0.2766172717052375,False
5,0.5853151544878491,6.804196396459311,0.26962995097889986,5e-05,0.2766172717052375,False


